user_name,email,platform,amount,currency,description,earned_at
"Chitra Menon","chitra.menon27@gmail.com","Fiverr",4697.83,INR,"Podcast Editing",2026-01-16
"Chitra Menon","chitra.menon27@gmail.com","Fiverr",10116.30,INR,"Podcast Editing",2026-01-28
"Chitra Menon","chitra.menon27@gmail.com","Fiverr",17639.22,INR,"Copywriting",2025-09-15
"Chitra Menon","chitra.menon27@gmail.com","Fiverr",16744.73,INR,"Voice Over",2026-01-18
"Chitra Menon","chitra.menon27@gmail.com","Fiverr",9352.69,INR,"Photo Editing",2025-10-09
"Chitra Menon","chitra.menon27@gmail.com","Fiverr",21969.44,INR,"Graphic Design",2025-10-04
"Chitra Menon","chitra.menon27@gmail.com","Fiverr",8438.83,INR,"Logo Design",2025-11-21
"Chitra Menon","chitra.menon27@gmail.com","Fiverr",1728.05,INR,"Data Entry",2025-11-09
"Chitra Menon","chitra.menon27@gmail.com","Freelancer.com",11333.75,INR,"Game Development",2025-09-09
"Chitra Menon","chitra.menon27@gmail.com","Freelancer.com",17127.26,INR,"ERP Customization",2025-09-28
"Chitra Menon","chitra.menon27@gmail.com","Freelancer.com",23449.72,INR,"Chatbot Development",2026-01-03
"Chitra Menon","chitra.menon27@gmail.com","Freelancer.com",16249.92,INR,"Shopify Store Setup",2025-12-10
"Chitra Menon","chitra.menon27@gmail.com","Freelancer.com",3900.72,INR,"Chatbot Development",2026-03-05
"Chitra Menon","chitra.menon27@gmail.com","Freelancer.com",11457.27,INR,"Shopify Store Setup",2025-11-10
"Chitra Menon","chitra.menon27@gmail.com","Freelancer.com",5559.01,INR,"Excel Automation",2025-11-03
"Omika Mishra","omika.mishra16@gmail.com","Upwork",24613.53,INR,"Landing Page Design",2026-01-11
"Omika Mishra","omika.mishra16@gmail.com","Upwork",11544.38,INR,"API Integration",2025-10-24
"Omika Mishra","omika.mishra16@gmail.com","Upwork",10167.86,INR,"React Frontend Build",2025-10-27
"Omika Mishra","omika.mishra16@gmail.com","Upwork",23446.24,INR,"Technical Writing",2026-02-23
"Omika Mishra","omika.mishra16@gmail.com","Upwork",4379.09,INR,"Technical Writing",2025-11-23
"Omika Mishra","omika.mishra16@gmail.com","Upwork",13024.97,INR,"Landing Page Design",2025-10-22
"Omika Mishra","omika.mishra16@gmail.com","Upwork",4231.59,INR,"Web Development Project",2025-12-30
"Omika Mishra","omika.mishra16@gmail.com","Upwork",12357.47,INR,"DevOps Setup",2026-01-09
"Aditya Arora","aditya.arora50@gmail.com","Freelancer.com",24802.89,INR,"Cloud Migration",2026-01-25
"Aditya Arora","aditya.arora50@gmail.com","Freelancer.com",15580.28,INR,"Chatbot Development",2025-10-05
"Aditya Arora","aditya.arora50@gmail.com","Freelancer.com",7645.48,INR,"Data Analysis Report",2025-12-24
"Aditya Arora","aditya.arora50@gmail.com","Freelancer.com",10787.18,INR,"IoT Dashboard",2025-11-08
"Aditya Arora","aditya.arora50@gmail.com","Freelancer.com",8081.05,INR,"Cloud Migration",2026-02-17
"Aditya Arora","aditya.arora50@gmail.com","Freelancer.com",24700.45,INR,"Game Development",2025-12-31
"Aditya Arora","aditya.arora50@gmail.com","Fiverr",1004.97,INR,"Voice Over",2025-09-17
"Aditya Arora","aditya.arora50@gmail.com","Fiverr",12164.11,INR,"Graphic Design",2025-10-29
"Aditya Arora","aditya.arora50@gmail.com","Fiverr",12453.70,INR,"Illustration",2025-12-18
"Rani Thakur","rani.thakur33@gmail.com","Freelancer.com",18476.83,INR,"Data Analysis Report",2025-09-14
"Rani Thakur","rani.thakur33@gmail.com","Freelancer.com",6504.42,INR,"Cybersecurity Audit",2026-02-27
"Rani Thakur","rani.thakur33@gmail.com","Freelancer.com",1461.46,INR,"Cybersecurity Audit",2025-10-25
"Rani Thakur","rani.thakur33@gmail.com","Freelancer.com",4643.45,INR,"Shopify Store Setup",2025-12-17
"Rani Thakur","rani.thakur33@gmail.com","Freelancer.com",24324.32,INR,"Game Development",2025-09-18
"Rani Thakur","rani.thakur33@gmail.com","Freelancer.com",17926.61,INR,"Machine Learning Model",2025-12-23
"Rani Thakur","rani.thakur33@gmail.com","Fiverr",14827.86,INR,"Graphic Design",2026-01-25
"Rani Thakur","rani.thakur33@gmail.com","Fiverr",6603.87,INR,"Video Editing",2025-12-31
"Rani Thakur","rani.thakur33@gmail.com","Fiverr",17268.73,INR,"Video Editing",2026-02-13
"Rani Thakur","rani.thakur33@gmail.com","Fiverr",19674.45,INR,"Virtual Assistant",2025-10-20
"Isha Chauhan","isha.chauhan5@gmail.com","Freelancer.com",848.13,INR,"Machine Learning Model",2026-02-09
"Isha Chauhan","isha.chauhan5@gmail.com","Freelancer.com",24443.14,INR,"Cloud Migration",2026-02-27
"Isha Chauhan","isha.chauhan5@gmail.com","Freelancer.com",24960.67,INR,"IoT Dashboard",2025-12-18
"Isha Chauhan","isha.chauhan5@gmail.com","Freelancer.com",6176.60,INR,"Blockchain Integration",2025-09-28
"Isha Chauhan","isha.chauhan5@gmail.com","Freelancer.com",14724.16,INR,"Game Development",2025-10-06
"Eshan Bhatia","eshan.bhatia85@gmail.com","Upwork",14087.58,INR,"React Frontend Build",2025-11-29
"Eshan Bhatia","eshan.bhatia85@gmail.com","Upwork",16159.73,INR,"API Integration",2025-09-28
"Eshan Bhatia","eshan.bhatia85@gmail.com","Upwork",5099.75,INR,"Database Optimization",2025-09-25
"Eshan Bhatia","eshan.bhatia85@gmail.com","Upwork",3308.02,INR,"Bug Fix Sprint",2025-12-09
"Eshan Bhatia","eshan.bhatia85@gmail.com","Upwork",9982.35,INR,"Web Development Project",2025-12-28
"Eshan Bhatia","eshan.bhatia85@gmail.com","Upwork",17036.74,INR,"Landing Page Design",2025-10-11
"Eshan Bhatia","eshan.bhatia85@gmail.com","Upwork",926.43,INR,"DevOps Setup",2026-01-30
"Eshan Bhatia","eshan.bhatia85@gmail.com","Fiverr",18151.25,INR,"Social Media Management",2025-12-24
"Eshan Bhatia","eshan.bhatia85@gmail.com","Fiverr",18648.15,INR,"Resume Writing",2025-11-23
"Eshan Bhatia","eshan.bhatia85@gmail.com","Fiverr",9162.92,INR,"Resume Writing",2026-02-17
"Chitra Tiwari","chitra.tiwari80@gmail.com","Upwork",3694.62,INR,"Code Review",2025-12-22
"Chitra Tiwari","chitra.tiwari80@gmail.com","Upwork",18232.98,INR,"Code Review",2025-09-13
"Chitra Tiwari","chitra.tiwari80@gmail.com","Upwork",16183.93,INR,"React Frontend Build",2025-12-03
"Chitra Tiwari","chitra.tiwari80@gmail.com","Upwork",16576.45,INR,"UI/UX Design Review",2025-09-22
"Chitra Tiwari","chitra.tiwari80@gmail.com","Upwork",12548.38,INR,"Web Development Project",2025-09-09
"Chitra Tiwari","chitra.tiwari80@gmail.com","Upwork",24676.00,INR,"React Frontend Build",2025-10-24
"Chitra Tiwari","chitra.tiwari80@gmail.com","Upwork",23258.99,INR,"React Frontend Build",2025-10-27
"Chitra Tiwari","chitra.tiwari80@gmail.com","Upwork",15361.43,INR,"Bug Fix Sprint",2025-11-30
"Chitra Tiwari","chitra.tiwari80@gmail.com","Fiverr",9074.73,INR,"Social Media Management",2026-02-02
"Chitra Tiwari","chitra.tiwari80@gmail.com","Fiverr",2094.98,INR,"Whiteboard Animation",2025-12-15
"Chitra Tiwari","chitra.tiwari80@gmail.com","Fiverr",3168.34,INR,"Translation Service",2025-09-13
"Chitra Tiwari","chitra.tiwari80@gmail.com","Fiverr",3444.77,INR,"Graphic Design",2025-10-07
"Chitra Tiwari","chitra.tiwari80@gmail.com","Fiverr",13172.66,INR,"Resume Writing",2026-02-28
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Fiverr",18943.93,INR,"Resume Writing",2025-10-03
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Fiverr",9218.32,INR,"Whiteboard Animation",2026-01-26
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Fiverr",21741.93,INR,"Copywriting",2025-11-16
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Fiverr",6228.31,INR,"Whiteboard Animation",2025-09-22
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Fiverr",15133.10,INR,"Voice Over",2025-10-19
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Fiverr",17243.00,INR,"Video Editing",2026-01-20
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Fiverr",9630.92,INR,"Translation Service",2025-10-24
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Fiverr",18508.45,INR,"Content Writing",2025-12-15
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Upwork",13875.75,INR,"Mobile App Development",2025-11-17
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Upwork",16377.47,INR,"React Frontend Build",2025-09-11
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Upwork",10554.42,INR,"SEO Optimization",2025-12-29
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Upwork",19515.71,INR,"Technical Writing",2026-02-13
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Upwork",20810.20,INR,"DevOps Setup",2025-10-06
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Upwork",12909.20,INR,"React Frontend Build",2025-10-26
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Freelancer.com",11182.73,INR,"Python Script Development",2025-10-02
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Freelancer.com",4229.93,INR,"Chatbot Development",2026-01-08
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","Freelancer.com",22465.82,INR,"Python Script Development",2026-02-04
"Aditya Srivastava","aditya.srivastava98@gmail.com","Fiverr",19396.24,INR,"Photo Editing",2025-12-22
"Aditya Srivastava","aditya.srivastava98@gmail.com","Fiverr",10399.25,INR,"Content Writing",2025-12-17
"Aditya Srivastava","aditya.srivastava98@gmail.com","Fiverr",18366.27,INR,"Copywriting",2025-09-22
"Aditya Srivastava","aditya.srivastava98@gmail.com","Fiverr",14430.39,INR,"Voice Over",2026-02-19
"Aditya Srivastava","aditya.srivastava98@gmail.com","Fiverr",17064.39,INR,"Copywriting",2026-01-01
"Aditya Srivastava","aditya.srivastava98@gmail.com","Fiverr",23392.91,INR,"Data Entry",2026-02-21
"Madhuri Shah","madhuri.shah34@gmail.com","Freelancer.com",1075.43,INR,"ERP Customization",2025-09-23
"Madhuri Shah","madhuri.shah34@gmail.com","Freelancer.com",16292.63,INR,"Cybersecurity Audit",2025-11-13
"Madhuri Shah","madhuri.shah34@gmail.com","Freelancer.com",19970.45,INR,"ETL Pipeline",2025-10-18
"Madhuri Shah","madhuri.shah34@gmail.com","Freelancer.com",14750.46,INR,"Cybersecurity Audit",2025-12-17
"Madhuri Shah","madhuri.shah34@gmail.com","Freelancer.com",1031.48,INR,"Python Script Development",2026-02-07
"Madhuri Shah","madhuri.shah34@gmail.com","Freelancer.com",5846.15,INR,"IoT Dashboard",2025-12-19
"Madhuri Shah","madhuri.shah34@gmail.com","Freelancer.com",1054.57,INR,"Game Development",2025-11-04
"Madhuri Shah","madhuri.shah34@gmail.com","Fiverr",23223.70,INR,"Illustration",2025-10-03
"Madhuri Shah","madhuri.shah34@gmail.com","Fiverr",12442.88,INR,"Voice Over",2025-12-17
"Madhuri Shah","madhuri.shah34@gmail.com","Fiverr",16011.75,INR,"Virtual Assistant",2026-02-05
"Madhuri Shah","madhuri.shah34@gmail.com","Fiverr",23213.94,INR,"Copywriting",2025-11-29
"Madhuri Shah","madhuri.shah34@gmail.com","Fiverr",7288.62,INR,"Resume Writing",2025-12-27
"Girish Shah","girish.shah86@gmail.com","Fiverr",8578.77,INR,"Illustration",2026-02-26
"Girish Shah","girish.shah86@gmail.com","Fiverr",24972.72,INR,"Logo Design",2026-03-01
"Girish Shah","girish.shah86@gmail.com","Fiverr",3323.48,INR,"Graphic Design",2026-01-08
"Girish Shah","girish.shah86@gmail.com","Fiverr",4799.89,INR,"Whiteboard Animation",2026-01-15
"Girish Shah","girish.shah86@gmail.com","Upwork",22212.16,INR,"SEO Optimization",2026-02-19
"Girish Shah","girish.shah86@gmail.com","Upwork",3124.21,INR,"SEO Optimization",2025-09-20
"Girish Shah","girish.shah86@gmail.com","Upwork",963.29,INR,"Full Stack Project",2025-12-13
"Girish Shah","girish.shah86@gmail.com","Freelancer.com",21378.91,INR,"Python Script Development",2025-12-20
"Girish Shah","girish.shah86@gmail.com","Freelancer.com",9607.63,INR,"Python Script Development",2025-10-03
"Girish Shah","girish.shah86@gmail.com","Freelancer.com",11875.23,INR,"Machine Learning Model",2025-12-05
"Girish Shah","girish.shah86@gmail.com","Freelancer.com",20379.66,INR,"Chatbot Development",2025-12-28
"Vikram Mehta","vikram.mehta98@gmail.com","Fiverr",7962.45,INR,"Whiteboard Animation",2025-12-04
"Vikram Mehta","vikram.mehta98@gmail.com","Fiverr",9565.27,INR,"Resume Writing",2025-12-22
"Vikram Mehta","vikram.mehta98@gmail.com","Fiverr",11937.61,INR,"Content Writing",2025-09-26
"Vikram Mehta","vikram.mehta98@gmail.com","Fiverr",19196.11,INR,"Copywriting",2025-12-30
"Vikram Mehta","vikram.mehta98@gmail.com","Fiverr",7781.13,INR,"Voice Over",2025-10-18
"Vikram Mehta","vikram.mehta98@gmail.com","Fiverr",23558.50,INR,"Content Writing",2025-11-19
"Vikram Mehta","vikram.mehta98@gmail.com","Fiverr",14881.21,INR,"Photo Editing",2026-01-26
"Vikram Mehta","vikram.mehta98@gmail.com","Freelancer.com",20060.63,INR,"Chatbot Development",2025-10-16
"Vikram Mehta","vikram.mehta98@gmail.com","Freelancer.com",4244.23,INR,"Game Development",2025-10-10
"Vikram Mehta","vikram.mehta98@gmail.com","Freelancer.com",10009.70,INR,"Python Script Development",2026-01-16
"Vikram Mehta","vikram.mehta98@gmail.com","Freelancer.com",4358.28,INR,"Machine Learning Model",2025-11-06
"Latika Ahuja","latika.ahuja99@gmail.com","Upwork",2536.60,INR,"Bug Fix Sprint",2026-01-02
"Latika Ahuja","latika.ahuja99@gmail.com","Upwork",2250.17,INR,"Web Development Project",2026-01-14
"Latika Ahuja","latika.ahuja99@gmail.com","Upwork",18086.06,INR,"Mobile App Development",2026-02-26
"Latika Ahuja","latika.ahuja99@gmail.com","Upwork",6636.36,INR,"Technical Writing",2025-10-15
"Latika Ahuja","latika.ahuja99@gmail.com","Upwork",22357.51,INR,"React Frontend Build",2026-03-02
"Latika Ahuja","latika.ahuja99@gmail.com","Upwork",2468.97,INR,"API Integration",2026-01-11
"Girish Saxena","girish.saxena19@gmail.com","Fiverr",8959.33,INR,"Virtual Assistant",2025-10-09
"Girish Saxena","girish.saxena19@gmail.com","Fiverr",11582.56,INR,"Illustration",2025-12-09
"Girish Saxena","girish.saxena19@gmail.com","Fiverr",11027.15,INR,"Logo Design",2025-11-03
"Girish Saxena","girish.saxena19@gmail.com","Fiverr",16086.79,INR,"Content Writing",2026-01-01
"Girish Saxena","girish.saxena19@gmail.com","Fiverr",15219.57,INR,"Whiteboard Animation",2026-01-31
"Girish Saxena","girish.saxena19@gmail.com","Freelancer.com",23783.55,INR,"Android App",2026-01-23
"Girish Saxena","girish.saxena19@gmail.com","Freelancer.com",4263.09,INR,"Payment Gateway Setup",2026-01-07
"Girish Saxena","girish.saxena19@gmail.com","Freelancer.com",16555.43,INR,"Excel Automation",2026-02-15
"Girish Saxena","girish.saxena19@gmail.com","Upwork",15783.09,INR,"Technical Writing",2026-02-02
"Girish Saxena","girish.saxena19@gmail.com","Upwork",3982.79,INR,"WordPress Plugin",2025-12-02
"Girish Saxena","girish.saxena19@gmail.com","Upwork",14507.23,INR,"Code Review",2026-02-09
"Mala Agarwal","mala.agarwal64@gmail.com","Freelancer.com",22569.95,INR,"Data Analysis Report",2025-11-15
"Mala Agarwal","mala.agarwal64@gmail.com","Freelancer.com",12970.61,INR,"IoT Dashboard",2026-03-05
"Mala Agarwal","mala.agarwal64@gmail.com","Freelancer.com",5578.98,INR,"ERP Customization",2025-09-16
"Mala Agarwal","mala.agarwal64@gmail.com","Freelancer.com",22086.44,INR,"Data Analysis Report",2025-09-12
"Mala Agarwal","mala.agarwal64@gmail.com","Freelancer.com",597.36,INR,"Game Development",2025-11-03
