name,email,password,earnings_count,connected_platforms
"Madhuri Shah","madhuri.shah34@gmail.com","freelancer123",12,"Freelancer.com | Fiverr"
"Girish Shah","girish.shah86@gmail.com","freelancer123",11,"Fiverr | Upwork | Freelancer.com"
"Vikram Mehta","vikram.mehta98@gmail.com","freelancer123",11,"Fiverr | Freelancer.com"
"Latika Ahuja","latika.ahuja99@gmail.com","freelancer123",6,"Upwork"
"Girish Saxena","girish.saxena19@gmail.com","freelancer123",11,"Fiverr | Freelancer.com | Upwork"
"Mala Agarwal","mala.agarwal64@gmail.com","freelancer123",10,"Freelancer.com | Fiverr"
"Pankaj Sharma","pankaj.sharma21@gmail.com","freelancer123",10,"Freelancer.com | Upwork"
"Pallavi Bajaj","pallavi.bajaj79@gmail.com","freelancer123",5,"Upwork"
"Tara Mehta","tara.mehta62@gmail.com","freelancer123",7,"Upwork"
"Aarav Chadha","aarav.chadha2@gmail.com","freelancer123",13,"Upwork | Freelancer.com"
"Chitra Tiwari","chitra.tiwari64@gmail.com","freelancer123",11,"Upwork | Freelancer.com"
"Rashmi Bose","rashmi.bose60@gmail.com","freelancer123",4,"Upwork"
"Nikhil Tiwari","nikhil.tiwari35@gmail.com","freelancer123",11,"Upwork | Fiverr"
"Naveen Chadha","naveen.chadha50@gmail.com","freelancer123",10,"Upwork | Fiverr"
"Bhavna Ahuja","bhavna.ahuja9@gmail.com","freelancer123",18,"Upwork | Fiverr | Freelancer.com"
"Girish Gupta","girish.gupta77@gmail.com","freelancer123",13,"Upwork | Fiverr"
"Pooja Mukherjee","pooja.mukherjee24@gmail.com","freelancer123",15,"Freelancer.com | Fiverr | Upwork"
"Vishal Shukla","vishal.shukla72@gmail.com","freelancer123",14,"Fiverr | Freelancer.com"
"Vihaan Joshi","vihaan.joshi49@gmail.com","freelancer123",5,"Fiverr"
"Latika Pillai","latika.pillai64@gmail.com","freelancer123",7,"Freelancer.com"
"Naveen Chopra","naveen.chopra55@gmail.com","freelancer123",9,"Freelancer.com | Fiverr"
"Kamini Grover","kamini.grover10@gmail.com","freelancer123",6,"Upwork"
"Vikram Chauhan","vikram.chauhan6@gmail.com","freelancer123",8,"Freelancer.com | Fiverr"
"Diya Rajput","diya.rajput37@gmail.com","freelancer123",14,"Freelancer.com | Fiverr | Upwork"
"Karan Mukherjee","karan.mukherjee81@gmail.com","freelancer123",3,"Upwork"
"Sneha Chauhan","sneha.chauhan19@gmail.com","freelancer123",9,"Upwork | Fiverr"
"Venkat Yadav","venkat.yadav33@gmail.com","freelancer123",10,"Freelancer.com | Fiverr"
"Rohan Chopra","rohan.chopra66@gmail.com","freelancer123",7,"Freelancer.com"
"Neha Bhatia","neha.bhatia16@gmail.com","freelancer123",9,"Freelancer.com | Upwork"
"Akash Yadav","akash.yadav19@gmail.com","freelancer123",5,"Fiverr"
"Gauri Tandon","gauri.tandon77@gmail.com","freelancer123",17,"Freelancer.com | Fiverr | Upwork"
"Siddharth Iyer","siddharth.iyer53@gmail.com","freelancer123",17,"Freelancer.com | Fiverr | Upwork"
"Gauri Ahuja","gauri.ahuja12@gmail.com","freelancer123",20,"Upwork | Fiverr | Freelancer.com"
"Diya Khanna","diya.khanna66@gmail.com","freelancer123",7,"Upwork | Fiverr"
"Dhruv Mishra","dhruv.mishra29@gmail.com","freelancer123",9,"Freelancer.com | Upwork"
"Vishal Thakur","vishal.thakur61@gmail.com","freelancer123",5,"Fiverr"
"Damini Mukherjee","damini.mukherjee34@gmail.com","freelancer123",4,"Freelancer.com"
"Namita Srivastava","namita.srivastava81@gmail.com","freelancer123",5,"Upwork"
"Ishaan Mishra","ishaan.mishra8@gmail.com","freelancer123",10,"Upwork | Fiverr"
"Neha Jain","neha.jain22@gmail.com","freelancer123",20,"Freelancer.com | Fiverr | Upwork"
"Manoj Dhawan","manoj.dhawan94@gmail.com","freelancer123",22,"Freelancer.com | Upwork | Fiverr"
"Janaki Mukherjee","janaki.mukherjee78@gmail.com","freelancer123",19,"Fiverr | Freelancer.com | Upwork"
"Jaya Joshi","jaya.joshi42@gmail.com","freelancer123",10,"Upwork | Fiverr"
"Siddharth Shah","siddharth.shah96@gmail.com","freelancer123",6,"Freelancer.com"
"Riya Mishra","riya.mishra2@gmail.com","freelancer123",3,"Upwork"
"Bhavna Jain","bhavna.jain73@gmail.com","freelancer123",17,"Freelancer.com | Fiverr | Upwork"
"Chitra Khanna","chitra.khanna3@gmail.com","freelancer123",16,"Freelancer.com | Fiverr"
"Nisha Arora","nisha.arora80@gmail.com","freelancer123",7,"Freelancer.com"
"Venkat Iyer","venkat.iyer69@gmail.com","freelancer123",5,"Upwork"
"Chandan Deshmukh","chandan.deshmukh86@gmail.com","freelancer123",13,"Freelancer.com | Fiverr"
"Kavya Chauhan","kavya.chauhan62@gmail.com","freelancer123",12,"Freelancer.com | Upwork"
"Padma Patil","padma.patil88@gmail.com","freelancer123",12,"Upwork | Freelancer.com | Fiverr"
"Falguni Gupta","falguni.gupta93@gmail.com","freelancer123",7,"Freelancer.com"
"Aditya Chadha","aditya.chadha43@gmail.com","freelancer123",13,"Upwork | Fiverr"
"Gauri Mukherjee","gauri.mukherjee27@gmail.com","freelancer123",14,"Freelancer.com | Fiverr | Upwork"
"Siddharth Gupta","siddharth.gupta79@gmail.com","freelancer123",14,"Upwork | Freelancer.com | Fiverr"
"Tarun Srivastava","tarun.srivastava3@gmail.com","freelancer123",20,"Fiverr | Upwork | Freelancer.com"
"Meera Mehta","meera.mehta30@gmail.com","freelancer123",5,"Fiverr"
"Venkat Joshi","venkat.joshi75@gmail.com","freelancer123",8,"Freelancer.com | Upwork"
"Aditya Deshmukh","aditya.deshmukh34@gmail.com","freelancer123",11,"Upwork | Fiverr | Freelancer.com"
"Megha Tandon","megha.tandon49@gmail.com","freelancer123",15,"Upwork | Fiverr | Freelancer.com"
"Umesh Mukherjee","umesh.mukherjee96@gmail.com","freelancer123",16,"Fiverr | Upwork | Freelancer.com"
"Gauri Dhawan","gauri.dhawan51@gmail.com","freelancer123",20,"Upwork | Fiverr | Freelancer.com"
"Divya Chauhan","divya.chauhan54@gmail.com","freelancer123",15,"Upwork | Fiverr | Freelancer.com"
"Ekta Bose","ekta.bose36@gmail.com","freelancer123",14,"Freelancer.com | Fiverr | Upwork"
"Sneha Khanna","sneha.khanna80@gmail.com","freelancer123",7,"Upwork | Fiverr"
"Umesh Chopra","umesh.chopra68@gmail.com","freelancer123",8,"Upwork"
"Varun Rajput","varun.rajput96@gmail.com","freelancer123",9,"Freelancer.com | Fiverr"
"Deepak Nair","deepak.nair28@gmail.com","freelancer123",15,"Upwork | Fiverr | Freelancer.com"
"Rajesh Bose","rajesh.bose20@gmail.com","freelancer123",8,"Freelancer.com | Upwork"
"Akash Verma","akash.verma59@gmail.com","freelancer123",12,"Upwork | Fiverr"
"Karan Kumar","karan.kumar71@gmail.com","freelancer123",6,"Freelancer.com | Fiverr"
"Gauri Kulkarni","gauri.kulkarni99@gmail.com","freelancer123",8,"Freelancer.com | Fiverr"
"Jaya Joshi","jaya.joshi35@gmail.com","freelancer123",20,"Freelancer.com | Upwork | Fiverr"
"Usha Deshmukh","usha.deshmukh72@gmail.com","freelancer123",11,"Freelancer.com | Fiverr"
"Kavya Dhawan","kavya.dhawan45@gmail.com","freelancer123",18,"Upwork | Fiverr | Freelancer.com"
"Sunil Bhatia","sunil.bhatia85@gmail.com","freelancer123",9,"Upwork | Fiverr"
"Siddharth Gupta","siddharth.gupta78@gmail.com","freelancer123",3,"Upwork"
"Rajesh Pillai","rajesh.pillai61@gmail.com","freelancer123",14,"Upwork | Fiverr | Freelancer.com"
"Sai Kapoor","sai.kapoor28@gmail.com","freelancer123",11,"Freelancer.com | Fiverr"
"Madhuri Dubey","madhuri.dubey54@gmail.com","freelancer123",20,"Upwork | Fiverr | Freelancer.com"
